backbone,dataset,axis,seed,native_run_id,probe_run_id,metric,native_value,probe_value,effect_native_minus_probe
CBraMod,physionet_mi,channel_patch,1024,physionet_mi_cbramod_frozen_channel_patch_s1024_r32_lr2e-4_b64_e40,physionet_mi_cbramod_frozen_probe_s1024_lr2e-4_b64_e40,macro_f1,0.54740453,0.54407386,0.00333067
CBraMod,physionet_mi,channel_patch,3407,physionet_mi_cbramod_frozen_channel_patch_s3407_r32_lr2e-4_b64_e40,physionet_mi_cbramod_frozen_probe_s3407_lr2e-4_b64_e40,balanced_accuracy,0.53857876,0.54750237,-0.00892361
CBraMod,physionet_mi,channel_patch,3407,physionet_mi_cbramod_frozen_channel_patch_s3407_r32_lr2e-4_b64_e40,physionet_mi_cbramod_frozen_probe_s3407_lr2e-4_b64_e40,macro_f1,0.54080474,0.54978234,-0.00897760
CBraMod,seedv,channel,1024,seedv_evalmode_frozen_channel_s1024_lr1e-5_20260804,seedv_evalmode_frozen_dense_s1024_20260804,balanced_accuracy,0.29114710,0.29745093,-0.00630383
CBraMod,seedv,channel,1024,seedv_evalmode_frozen_channel_s1024_lr1e-5_20260804,seedv_evalmode_frozen_dense_s1024_20260804,macro_f1,0.29075242,0.29436881,-0.00361639
CBraMod,seedv,channel,3407,seedv_evalmode_frozen_channel_s3407_lr1e-5_20260804,seedv_evalmode_frozen_dense_s3407_20260804,balanced_accuracy,0.29613984,0.29973133,-0.00359148
CBraMod,seedv,channel,3407,seedv_evalmode_frozen_channel_s3407_lr1e-5_20260804,seedv_evalmode_frozen_dense_s3407_20260804,macro_f1,0.28097478,0.28764286,-0.00666808
CBraMod,seedv,channel,42,seedv_evalmode_frozen_channel_s42_lr1e-5_20260804,seedv_evalmode_frozen_dense_s42_20260804,balanced_accuracy,0.28819700,0.29887357,-0.01067657
CBraMod,seedv,channel,42,seedv_evalmode_frozen_channel_s42_lr1e-5_20260804,seedv_evalmode_frozen_dense_s42_20260804,macro_f1,0.28532104,0.29724225,-0.01192121
CBraMod,tuev,channel_patch,1024,tuev_cbramod_frozen_channel_patch_s1024_r64_lr1e-4_b8_e20,tuev_cbramod_frozen_probe_s1024_lr1e-4_b8_e20,balanced_accuracy,0.48049487,0.43595292,0.04454195
CBraMod,tuev,channel_patch,1024,tuev_cbramod_frozen_channel_patch_s1024_r64_lr1e-4_b8_e20,tuev_cbramod_frozen_probe_s1024_lr1e-4_b8_e20,macro_f1,0.49641299,0.45910020,0.03731279
CBraMod,tuev,channel_patch,3407,tuev_cbramod_frozen_channel_patch_s3407_r64_lr1e-4_b8_e20,tuev_cbramod_frozen_probe_s3407_lr1e-4_b8_e20,balanced_accuracy,0.44131067,0.46226347,-0.02095280
CBraMod,tuev,channel_patch,3407,tuev_cbramod_frozen_channel_patch_s3407_r64_lr1e-4_b8_e20,tuev_cbramod_frozen_probe_s3407_lr1e-4_b8_e20,macro_f1,0.45565671,0.49207586,-0.03641915
CBraMod,tuev,channel_patch,42,tuev_cbramod_frozen_channel_patch_s42_r64_lr1e-4_b8_e20,tuev_cbramod_frozen_probe_s42_lr1e-4_b8_e20,balanced_accuracy,0.44257556,0.49862576,-0.05605020
CBraMod,tuev,channel_patch,42,tuev_cbramod_frozen_channel_patch_s42_r64_lr1e-4_b8_e20,tuev_cbramod_frozen_probe_s42_lr1e-4_b8_e20,macro_f1,0.46381792,0.49270968,-0.02889176
LaBraM,TUEV,channel_patch,1024,tuev_labram_frozen_channel_patch_lr5e-4_s1024_b64_e15_scale100,tuev_labram_frozen_dense_lr5e-4_s1024_b64_e15_scale100,balanced_accuracy,0.38064026,0.36578637,0.01485390
LaBraM,TUEV,channel_patch,1024,tuev_labram_frozen_channel_patch_lr5e-4_s1024_b64_e15_scale100,tuev_labram_frozen_dense_lr5e-4_s1024_b64_e15_scale100,macro_f1,0.34482654,0.34832983,-0.00350329
LaBraM,TUEV,channel_patch,3407,tuev_labram_frozen_channel_patch_lr5e-4_s3407_b64_e15_scale100,tuev_labram_frozen_dense_lr5e-4_s3407_b64_e15_scale100,balanced_accuracy,0.38151803,0.36578637,0.01573166
LaBraM,TUEV,channel_patch,3407,tuev_labram_frozen_channel_patch_lr5e-4_s3407_b64_e15_scale100,tuev_labram_frozen_dense_lr5e-4_s3407_b64_e15_scale100,macro_f1,0.36216534,0.34832983,0.01383551
LaBraM,TUEV,channel_patch,42,tuev_labram_frozen_channel_patch_lr5e-4_s42_b64_e15_scale100,tuev_labram_frozen_dense_lr5e-4_s42_b64_e15_scale100,balanced_accuracy,0.41266906,0.36578637,0.04688269
LaBraM,TUEV,channel_patch,42,tuev_labram_frozen_channel_patch_lr5e-4_s42_b64_e15_scale100,tuev_labram_frozen_dense_lr5e-4_s42_b64_e15_scale100,macro_f1,0.39588369,0.34832983,0.04755387
