contrast,backbone,dataset,axis,seed,adapter_run_id,reference_run_id,metric,adapter_value,reference_value,effect_adapter_minus_reference
delta_frozen,CBraMod,seedv,channel,3407,seedv_evalmode_frozen_channel_s3407_lr1e-5_20260804,seedv_evalmode_frozen_dense_s3407_20260804,balanced_accuracy,0.29613984,0.29973133,-0.00359148
delta_frozen,CBraMod,seedv,channel,3407,seedv_evalmode_frozen_channel_s3407_lr1e-5_20260804,seedv_evalmode_frozen_dense_s3407_20260804,macro_f1,0.28097478,0.28764286,-0.00666808
delta_frozen,CBraMod,seedv,channel,42,seedv_evalmode_frozen_channel_s42_lr1e-5_20260804,seedv_evalmode_frozen_dense_s42_20260804,balanced_accuracy,0.28819700,0.29887357,-0.01067657
delta_frozen,CBraMod,seedv,channel,42,seedv_evalmode_frozen_channel_s42_lr1e-5_20260804,seedv_evalmode_frozen_dense_s42_20260804,macro_f1,0.28532104,0.29724225,-0.01192121
delta_frozen,CBraMod,tuev,channel_patch,1024,tuev_cbramod_frozen_channel_patch_s1024_r64_lr1e-4_b8_e20,tuev_cbramod_frozen_probe_s1024_lr1e-4_b8_e20,balanced_accuracy,0.48049487,0.43595292,0.04454195
delta_frozen,CBraMod,tuev,channel_patch,1024,tuev_cbramod_frozen_channel_patch_s1024_r64_lr1e-4_b8_e20,tuev_cbramod_frozen_probe_s1024_lr1e-4_b8_e20,macro_f1,0.49641299,0.45910020,0.03731279
delta_frozen,CBraMod,tuev,channel_patch,3407,tuev_cbramod_frozen_channel_patch_s3407_r64_lr1e-4_b8_e20,tuev_cbramod_frozen_probe_s3407_lr1e-4_b8_e20,balanced_accuracy,0.44131067,0.46226347,-0.02095280
delta_frozen,CBraMod,tuev,channel_patch,3407,tuev_cbramod_frozen_channel_patch_s3407_r64_lr1e-4_b8_e20,tuev_cbramod_frozen_probe_s3407_lr1e-4_b8_e20,macro_f1,0.45565671,0.49207586,-0.03641915
delta_frozen,CBraMod,tuev,channel_patch,42,tuev_cbramod_frozen_channel_patch_s42_r64_lr1e-4_b8_e20,tuev_cbramod_frozen_probe_s42_lr1e-4_b8_e20,balanced_accuracy,0.44257556,0.49862576,-0.05605020
delta_frozen,CBraMod,tuev,channel_patch,42,tuev_cbramod_frozen_channel_patch_s42_r64_lr1e-4_b8_e20,tuev_cbramod_frozen_probe_s42_lr1e-4_b8_e20,macro_f1,0.46381792,0.49270968,-0.02889176
delta_frozen,LaBraM,TUEV,channel_patch,1024,tuev_labram_frozen_channel_patch_lr5e-4_s1024_b64_e15_scale100,tuev_labram_frozen_dense_lr5e-4_s1024_b64_e15_scale100,balanced_accuracy,0.38064026,0.36578637,0.01485390
delta_frozen,LaBraM,TUEV,channel_patch,1024,tuev_labram_frozen_channel_patch_lr5e-4_s1024_b64_e15_scale100,tuev_labram_frozen_dense_lr5e-4_s1024_b64_e15_scale100,macro_f1,0.34482654,0.34832983,-0.00350329
delta_frozen,LaBraM,TUEV,channel_patch,3407,tuev_labram_frozen_channel_patch_lr5e-4_s3407_b64_e15_scale100,tuev_labram_frozen_dense_lr5e-4_s3407_b64_e15_scale100,balanced_accuracy,0.38151803,0.36578637,0.01573166
delta_frozen,LaBraM,TUEV,channel_patch,3407,tuev_labram_frozen_channel_patch_lr5e-4_s3407_b64_e15_scale100,tuev_labram_frozen_dense_lr5e-4_s3407_b64_e15_scale100,macro_f1,0.36216534,0.34832983,0.01383551
delta_frozen,LaBraM,TUEV,channel_patch,42,tuev_labram_frozen_channel_patch_lr5e-4_s42_b64_e15_scale100,tuev_labram_frozen_dense_lr5e-4_s42_b64_e15_scale100,balanced_accuracy,0.41266906,0.36578637,0.04688269
delta_frozen,LaBraM,TUEV,channel_patch,42,tuev_labram_frozen_channel_patch_lr5e-4_s42_b64_e15_scale100,tuev_labram_frozen_dense_lr5e-4_s42_b64_e15_scale100,macro_f1,0.39588369,0.34832983,0.04755387
delta_full,CBraMod,faced,channel_patch,1024,faced_native_full_channel_patch_s1024_lr1e-4_b64_e50,faced_cbramod_original_s1024_lr1e-4_b64_e50,balanced_accuracy,0.56052067,0.56199678,-0.00147611
delta_full,CBraMod,faced,channel_patch,1024,faced_native_full_channel_patch_s1024_lr1e-4_b64_e50,faced_cbramod_original_s1024_lr1e-4_b64_e50,macro_f1,0.56747729,0.56755255,-0.00007525
delta_full,CBraMod,faced,channel_patch,3407,faced_native_full_channel_patch_s3407_lr1e-4_b64_e50,faced_cbramod_original_s3407_lr1e-4_b64_e50,balanced_accuracy,0.56830381,0.57018250,-0.00187869
delta_full,CBraMod,faced,channel_patch,3407,faced_native_full_channel_patch_s3407_lr1e-4_b64_e50,faced_cbramod_original_s3407_lr1e-4_b64_e50,macro_f1,0.57310347,0.57729395,-0.00419048
delta_full,CBraMod,faced,channel_patch,42,faced_native_full_channel_patch_s42_lr1e-4_b64_e50,faced_cbramod_original_s42_lr1e-4_b64_e50_r3,balanced_accuracy,0.56723027,0.58319914,-0.01596887
delta_full,CBraMod,faced,channel_patch,42,faced_native_full_channel_patch_s42_lr1e-4_b64_e50,faced_cbramod_original_s42_lr1e-4_b64_e50_r3,macro_f1,0.57339056,0.59096143,-0.01757087
delta_full,CBraMod,isruc,channel_patch,1024,isruc_cbramod_alpha0_full_channel_patch_r64_s1024,isruc_cbramod_dense_s1024_lr2e-4_b8_e20,balanced_accuracy,0.79472304,0.79311389,0.00160915
delta_full,CBraMod,isruc,channel_patch,1024,isruc_cbramod_alpha0_full_channel_patch_r64_s1024,isruc_cbramod_dense_s1024_lr2e-4_b8_e20,macro_f1,0.79083363,0.78934323,0.00149040
delta_full,CBraMod,isruc,channel_patch,3407,isruc_cbramod_alpha0_full_channel_patch_r64_s3407,isruc_cbramod_dense_s3407_lr2e-4_b8_e20,balanced_accuracy,0.77117655,0.77552456,-0.00434800
