backbone,dataset,method,variant,n,seeds,balanced_accuracy_mean,balanced_accuracy_sd,macro_f1_mean,macro_f1_sd,cohen_kappa_mean,cohen_kappa_sd,weighted_f1_mean,weighted_f1_sd,trainable_parameters_mean,trainable_parameters_sd,trainable_parameter_fraction_mean,trainable_parameter_fraction_sd,peak_gpu_memory_bytes_mean,peak_gpu_memory_bytes_sd,training_wall_seconds_mean,training_wall_seconds_sd,analysis_roles
CBraMod,physionet_mi,lora,none,3,"42,1024,3407",0.54933610,0.00427661,0.55162567,0.00467970,0.39906324,0.00567866,0.55161136,0.00468108,41198604.00000000,0.00000000,0.89402029,0.00000000,3104910336.00000000,0.00000000,924.16307886,257.09862610,CONTEXT
CBraMod,physionet_mi,native_full_finetune,channel_patch,3,"42,1024,3407",0.62461528,0.00145469,0.62508264,0.00172275,0.49938422,0.00194493,0.62504108,0.00171313,46065214.00000000,0.00000000,1.00000000,0.00000000,5030384640.00000000,0.00000000,1206.26841672,132.64826830,RQ3
CBraMod,physionet_mi,upper_k_finetune,none,3,"42,1024,3407",0.59847899,0.00782146,0.60002931,0.00929412,0.46459346,0.01046216,0.59999705,0.00929633,41927004.00000000,0.00000000,0.91134558,0.00000000,1592367616.00000000,0.00000000,568.26624099,130.18112598,BOUNDARY;RQ3
CBraMod,seedv,axis_blind,generic_token_control,3,"42,1024,3407",0.30057075,0.00805385,0.29931700,0.01053506,0.12316850,0.01078556,0.30397214,0.01057768,10141954.00000000,0.00000000,,,321814528.00000000,0.00000000,2493.04481125,486.52252758,RQ2
CBraMod,seedv,frozen_probe,none,3,"42,1024,3407",0.29868527,0.00115180,0.29308464,0.00492685,0.12092870,0.00171790,0.29850950,0.00322908,10082005.00000000,0.00000000,,,320361472.00000000,0.00000000,1925.98030543,114.21861636,BOUNDARY;RQ1
CBraMod,seedv,full_finetune,none,3,"42,1024,3407",0.38761981,0.01149839,0.38612210,0.01362911,0.24080397,0.01600748,0.39638132,0.01418701,14965805.00000000,0.00000000,,,766588928.00000000,0.00000000,6795.68085996,948.79375796,BOUNDARY;RQ3
CBraMod,seedv,generic_bottleneck,none,3,"42,1024,3407",0.29384174,0.00080630,0.29142468,0.00303632,0.11338613,0.00188079,0.29440197,0.00426259,10108270.00000000,0.00000000,,,321000448.00000000,0.00000000,1940.00034022,23.62195836,CONTEXT
CBraMod,seedv,interaction_aligned,channel,3,"42,1024,3407",0.29182798,0.00401496,0.28568275,0.00489885,0.11267003,0.00507698,0.29168533,0.00312589,10111810.00000000,0.00000000,,,321086464.00000000,0.00000000,2337.17592653,552.77832933,BOUNDARY;RQ1;RQ2
CBraMod,seedv,lora,none,3,"42,1024,3407",0.38382402,0.00269138,0.38446788,0.00153052,0.23313215,0.00237924,0.39252184,0.00096784,10158805.00000000,0.00000000,,,540692992.00000000,0.00000000,3581.68540287,38.85656155,CONTEXT
CBraMod,seedv,native_full_finetune,channel,3,"42,1024,3407",0.39531706,0.00918424,0.39465589,0.01017910,0.25073212,0.01159802,0.40492251,0.00992285,14995610.00000000,0.00000000,,,767278080.00000000,0.00000000,6278.71973674,1797.71409294,RQ3
