backbone,dataset,axis,seed,native_run_id,axisblind_run_id,parameter_match_pct,pair_status,analysis_scope,pair_audit_notes,metric,native_value,axisblind_value,effect_native_minus_axisblind
CBraMod,faced,channel_patch,1024,faced_evalmode_frozen_channel_patch_s1024_lr5e-4_20260804,faced_evalmode_frozen_axis_blind_s1024_20260804,0.0002638872453237039,VALID,primary,all focused pair checks passed,balanced_accuracy,0.38754697,0.38526570,0.00228127
CBraMod,faced,channel_patch,1024,faced_evalmode_frozen_channel_patch_s1024_lr5e-4_20260804,faced_evalmode_frozen_axis_blind_s1024_20260804,0.0002638872453237039,VALID,primary,all focused pair checks passed,macro_f1,0.38789663,0.38599831,0.00189832
CBraMod,faced,channel_patch,3407,faced_evalmode_frozen_channel_patch_s3407_lr5e-4_20260804,faced_evalmode_frozen_axis_blind_s3407_20260804,0.0002638872453237039,VALID,primary,all focused pair checks passed,balanced_accuracy,0.39023081,0.39130435,-0.00107354
CBraMod,faced,channel_patch,3407,faced_evalmode_frozen_channel_patch_s3407_lr5e-4_20260804,faced_evalmode_frozen_axis_blind_s3407_20260804,0.0002638872453237039,VALID,primary,all focused pair checks passed,macro_f1,0.38911203,0.38906198,0.00005005
CBraMod,faced,channel_patch,42,faced_evalmode_frozen_channel_patch_s42_lr5e-4_20260804,faced_evalmode_frozen_axis_blind_s42_20260804,0.0002638872453237039,VALID,primary,all focused pair checks passed,balanced_accuracy,0.39519592,0.38727858,0.00791734
CBraMod,faced,channel_patch,42,faced_evalmode_frozen_channel_patch_s42_lr5e-4_20260804,faced_evalmode_frozen_axis_blind_s42_20260804,0.0002638872453237039,VALID,primary,all focused pair checks passed,macro_f1,0.39505783,0.38725320,0.00780463
CBraMod,isruc,channel_patch,1024,isruc_cbramod_alpha0_frozen_channel_patch_r32_s1024,isruc_cbramod_alpha0_axisblind_s1024,0.17570231265541697,VALID,primary,all focused pair checks passed,balanced_accuracy,0.74679583,0.76029725,-0.01350142
CBraMod,isruc,channel_patch,1024,isruc_cbramod_alpha0_frozen_channel_patch_r32_s1024,isruc_cbramod_alpha0_axisblind_s1024,0.17570231265541697,VALID,primary,all focused pair checks passed,macro_f1,0.74217810,0.76004009,-0.01786199
CBraMod,isruc,channel_patch,3407,isruc_cbramod_alpha0_frozen_channel_patch_r32_s3407,isruc_cbramod_alpha0_axisblind_s3407,0.17570231265541697,VALID,primary,all focused pair checks passed,balanced_accuracy,0.75827006,0.74490425,0.01336581
CBraMod,isruc,channel_patch,3407,isruc_cbramod_alpha0_frozen_channel_patch_r32_s3407,isruc_cbramod_alpha0_axisblind_s3407,0.17570231265541697,VALID,primary,all focused pair checks passed,macro_f1,0.75601271,0.74303822,0.01297449
CBraMod,isruc,channel_patch,42,isruc_cbramod_frozen_channel_patch_s42_lr2e-4_b8_e20,isruc_cbramod_axisblind_s42_lr2e-4_b8_e20,0.0015660072036331367,VALID,primary,all focused pair checks passed,balanced_accuracy,0.75410196,0.75468611,-0.00058415
CBraMod,isruc,channel_patch,42,isruc_cbramod_frozen_channel_patch_s42_lr2e-4_b8_e20,isruc_cbramod_axisblind_s42_lr2e-4_b8_e20,0.0015660072036331367,VALID,primary,all focused pair checks passed,macro_f1,0.74715092,0.75064000,-0.00348908
