backbone,dataset,artifact_name,artifact_dir,registry_member,registry_contract_valid,classification,complete_test_contract,audit_or_smoke_name,operator_audit_name,method,axis,seed,selected_epoch,balanced_accuracy,cohen_kappa,macro_f1,weighted_f1,macro_f1_reconstructed,metric_source,config_present,local_log_present,checkpoint_best_present,summary_present,final_test_present
CBraMod,FACED,faced_env_audit_20260801_r1,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_env_audit_20260801_r1,False,,audit_or_smoke,False,True,False,full_finetune,none,42.0,,,,,,False,CBraMod/test_metrics.json,True,False,False,True,False
CBraMod,FACED,faced_evalmode_frozen_axis_blind_s1024_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_axis_blind_s1024_20260804,True,True,registry_complete,True,False,False,axis_blind,generic_token_control,1024.0,32.0,0.3852657004830918,0.3065033537474482,0.38599831322065864,0.3848693007810737,False,CBraMod/test_metrics.json,True,False,False,True,False
CBraMod,FACED,faced_evalmode_frozen_axis_blind_s3407_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_axis_blind_s3407_20260804,True,True,registry_complete,True,False,False,axis_blind,generic_token_control,3407.0,34.0,0.3913043478260869,0.31424045356011343,0.38906197842338075,0.38850024109873615,False,CBraMod/test_metrics.json,True,False,False,True,False
CBraMod,FACED,faced_evalmode_frozen_axis_blind_s42_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_axis_blind_s42_20260804,True,True,registry_complete,True,False,False,axis_blind,generic_token_control,42.0,27.0,0.38727858293075684,0.30842600691407396,0.38725319859351187,0.38596753008255563,False,CBraMod/test_metrics.json,True,False,False,True,False
CBraMod,FACED,faced_evalmode_frozen_channel_patch_s1024_lr5e-4_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_channel_patch_s1024_lr5e-4_20260804,True,True,registry_complete,True,False,False,interaction_aligned,channel_patch,1024.0,44.0,0.3875469672571122,0.3088363954505686,0.387896632331497,0.3865745094976027,False,CBraMod/test_metrics.json,True,False,False,True,False
CBraMod,FACED,faced_evalmode_frozen_channel_patch_s3407_lr5e-4_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_channel_patch_s3407_lr5e-4_20260804,True,True,registry_complete,True,False,False,interaction_aligned,channel_patch,3407.0,18.0,0.39023081052066555,0.31227865505603936,0.389112028967704,0.3881569328609679,False,CBraMod/test_metrics.json,True,False,False,True,False
CBraMod,FACED,faced_evalmode_frozen_channel_patch_s42_lr5e-4_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_channel_patch_s42_lr5e-4_20260804,True,True,registry_complete,True,False,False,interaction_aligned,channel_patch,42.0,37.0,0.3951959205582394,0.31846788646688606,0.39505783033163044,0.3943868787640964,False,CBraMod/test_metrics.json,True,False,False,True,False
CBraMod,FACED,faced_evalmode_frozen_channel_s1024_lr5e-4_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_channel_s1024_lr5e-4_20260804,True,True,registry_complete,True,False,False,interaction_aligned,channel,1024.0,37.0,0.37815351583467527,0.3004379562043795,0.3787534865242982,0.378690747902424,False,CBraMod/test_metrics.json,True,False,False,True,False
CBraMod,FACED,faced_evalmode_frozen_channel_s3407_lr5e-4_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_channel_s3407_lr5e-4_20260804,True,True,registry_complete,True,False,False,interaction_aligned,channel,3407.0,43.0,0.37654320987654316,0.2984813084112149,0.37761446006560856,0.3772978722061226,False,CBraMod/test_metrics.json,True,False,False,True,False
CBraMod,FACED,faced_evalmode_frozen_channel_s42_lr5e-4_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_channel_s42_lr5e-4_20260804,True,True,registry_complete,True,False,False,interaction_aligned,channel,42.0,28.0,0.3836553945249597,0.30547159979155813,0.3847724205827893,0.3839851478961803,False,CBraMod/test_metrics.json,True,False,False,True,False
