backbone,dataset,run_id,artifact_dir,method,axis,seed,candidate,candidate_score,contract_valid,status,selected_epoch,val_selection_value,balanced_accuracy,cohen_kappa,macro_f1,weighted_f1,trainable_parameters,adapter_delta_ratio,backbone_update_norm,source
CBraMod,faced,faced_evalmode_frozen_patch_s42_lr5e-4_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_patch_s42_lr5e-4_20260804,interaction_aligned,patch,42,True,102,True,completed,47,0.38406858624912954,0.38298443370907137,0.30551962952146516,0.38481922926521017,0.3842866123669117,128433814,0.5078914165496826,0.0,summary.json + test_metrics.json
CBraMod,faced,faced_evalmode_frozen_channel_patch_s42_lr5e-4_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_channel_patch_s42_lr5e-4_20260804,interaction_aligned,channel_patch,42,True,102,True,completed,37,0.3827924492096616,0.3951959205582394,0.31846788646688606,0.39505783033163044,0.3943868787640964,128463619,0.6623373031616211,0.0,summary.json + test_metrics.json
CBraMod,faced,faced_evalmode_frozen_generic_s42_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_generic_s42_20260804,generic_bottleneck,none,42,True,102,True,completed,35,0.3891738984513592,0.3935856146001073,0.31580701608199313,0.39315171255028436,0.39197271782134063,128430274,,0.0,summary.json + test_metrics.json
CBraMod,faced,faced_evalmode_frozen_lora_qkv_r8_s42_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_lora_qkv_r8_s42_20260804,lora,none,42,True,102,True,completed,12,0.40683936830501566,0.42096081588835216,0.34605608567023616,0.4224268573722585,0.4205631201279947,128480809,,0.0,summary.json + test_metrics.json
CBraMod,faced,faced_evalmode_frozen_upper2_s42_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_upper2_s42_20260804,upper_k_finetune,none,42,True,102,True,completed,41,0.39311403088136565,0.4087493290391841,0.3330832708177044,0.4090537794941171,0.40780720379303953,129209209,,0.0,summary.json + test_metrics.json
CBraMod,faced,faced_evalmode_frozen_axis_blind_s42_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_axis_blind_s42_20260804,axis_blind,generic_token_control,42,True,102,True,completed,27,0.37988063565111096,0.38727858293075684,0.30842600691407396,0.38725319859351187,0.38596753008255563,128463958,,0.0,summary.json + test_metrics.json
CBraMod,faced,faced_evalmode_frozen_probe_s1024_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_probe_s1024_20260804,frozen_probe,none,1024,True,102,True,completed,17,0.37035614860324473,0.37909286097691897,0.2997519954984057,0.3795963124311903,0.3784459502731745,128404009,,0.0,summary.json + test_metrics.json
CBraMod,faced,faced_evalmode_frozen_channel_s1024_lr5e-4_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_channel_s1024_lr5e-4_20260804,interaction_aligned,channel,1024,True,102,True,completed,37,0.3727429888590089,0.37815351583467527,0.3004379562043795,0.3787534865242982,0.378690747902424,128433814,0.4023004174232483,0.0,summary.json + test_metrics.json
CBraMod,faced,faced_evalmode_frozen_patch_s1024_lr5e-4_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_patch_s1024_lr5e-4_20260804,interaction_aligned,patch,1024,True,102,True,completed,43,0.37655357742693985,0.3824476650563607,0.3047285464098074,0.3825379109622883,0.3821811648424867,128433814,0.5075993537902832,0.0,summary.json + test_metrics.json
CBraMod,faced,faced_evalmode_frozen_channel_patch_s1024_lr5e-4_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_channel_patch_s1024_lr5e-4_20260804,interaction_aligned,channel_patch,1024,True,102,True,completed,44,0.3876552683324541,0.3875469672571122,0.3088363954505686,0.387896632331497,0.3865745094976027,128463619,0.6740647554397583,0.0,summary.json + test_metrics.json
