comparison,backbone,dataset,axis,seed,left_method,right_method,metric,left_value,right_value,effect_left_minus_right,left_better,parameter_match_pct,pair_validity,pair_contract_valid,pair_artifacts_verified,pair_invalid_reason,left_artifact,right_artifact,scope_note
aligned_vs_axis_blind,CBraMod,faced,channel,1024,interaction_aligned,axis_blind,weighted_f1,0.378690747902424,0.3848693007810737,-0.006178552878649657,0,0.02346494726559803,PAIR_ARTIFACT_UNVERIFIED,True,False,full configuration-level nuisance matching not yet manually confirmed,faced_evalmode_frozen_channel_s1024_lr5e-4_20260804,faced_evalmode_frozen_axis_blind_s1024_20260804,
aligned_vs_axis_blind,CBraMod,faced,patch,1024,interaction_aligned,axis_blind,balanced_accuracy,0.3824476650563607,0.3852657004830918,-0.0028180354267310914,0,0.02346494726559803,PAIR_ARTIFACT_UNVERIFIED,True,False,full configuration-level nuisance matching not yet manually confirmed,faced_evalmode_frozen_patch_s1024_lr5e-4_20260804,faced_evalmode_frozen_axis_blind_s1024_20260804,
aligned_vs_axis_blind,CBraMod,faced,patch,1024,interaction_aligned,axis_blind,cohen_kappa,0.3047285464098074,0.3065033537474482,-0.0017748073376407936,0,0.02346494726559803,PAIR_ARTIFACT_UNVERIFIED,True,False,full configuration-level nuisance matching not yet manually confirmed,faced_evalmode_frozen_patch_s1024_lr5e-4_20260804,faced_evalmode_frozen_axis_blind_s1024_20260804,
aligned_vs_axis_blind,CBraMod,faced,patch,1024,interaction_aligned,axis_blind,macro_f1,0.3825379109622883,0.38599831322065864,-0.003460402258370354,0,0.02346494726559803,PAIR_ARTIFACT_UNVERIFIED,True,False,full configuration-level nuisance matching not yet manually confirmed,faced_evalmode_frozen_patch_s1024_lr5e-4_20260804,faced_evalmode_frozen_axis_blind_s1024_20260804,
aligned_vs_axis_blind,CBraMod,faced,patch,1024,interaction_aligned,axis_blind,weighted_f1,0.3821811648424867,0.3848693007810737,-0.0026881359385869663,0,0.02346494726559803,PAIR_ARTIFACT_UNVERIFIED,True,False,full configuration-level nuisance matching not yet manually confirmed,faced_evalmode_frozen_patch_s1024_lr5e-4_20260804,faced_evalmode_frozen_axis_blind_s1024_20260804,
aligned_vs_axis_blind,CBraMod,faced,channel_patch,1024,interaction_aligned,axis_blind,balanced_accuracy,0.3875469672571122,0.3852657004830918,0.0022812667740204073,1,0.0002638872453237039,PAIR_ARTIFACT_UNVERIFIED,True,False,full configuration-level nuisance matching not yet manually confirmed,faced_evalmode_frozen_channel_patch_s1024_lr5e-4_20260804,faced_evalmode_frozen_axis_blind_s1024_20260804,
aligned_vs_axis_blind,CBraMod,faced,channel_patch,1024,interaction_aligned,axis_blind,cohen_kappa,0.3088363954505686,0.3065033537474482,0.002333041703120431,1,0.0002638872453237039,PAIR_ARTIFACT_UNVERIFIED,True,False,full configuration-level nuisance matching not yet manually confirmed,faced_evalmode_frozen_channel_patch_s1024_lr5e-4_20260804,faced_evalmode_frozen_axis_blind_s1024_20260804,
aligned_vs_axis_blind,CBraMod,faced,channel_patch,1024,interaction_aligned,axis_blind,macro_f1,0.387896632331497,0.38599831322065864,0.0018983191108383757,1,0.0002638872453237039,PAIR_ARTIFACT_UNVERIFIED,True,False,full configuration-level nuisance matching not yet manually confirmed,faced_evalmode_frozen_channel_patch_s1024_lr5e-4_20260804,faced_evalmode_frozen_axis_blind_s1024_20260804,
aligned_vs_axis_blind,CBraMod,faced,channel_patch,1024,interaction_aligned,axis_blind,weighted_f1,0.3865745094976027,0.3848693007810737,0.0017052087165290164,1,0.0002638872453237039,PAIR_ARTIFACT_UNVERIFIED,True,False,full configuration-level nuisance matching not yet manually confirmed,faced_evalmode_frozen_channel_patch_s1024_lr5e-4_20260804,faced_evalmode_frozen_axis_blind_s1024_20260804,
aligned_vs_axis_blind,CBraMod,faced,channel,3407,interaction_aligned,axis_blind,balanced_accuracy,0.37654320987654316,0.3913043478260869,-0.014761137949543757,0,0.02346494726559803,PAIR_ARTIFACT_UNVERIFIED,True,False,full configuration-level nuisance matching not yet manually confirmed,faced_evalmode_frozen_channel_s3407_lr5e-4_20260804,faced_evalmode_frozen_axis_blind_s3407_20260804,
