run_id,seed,n_epochs,validation_selected_epoch,validation_selected_val_kappa,test_ba_at_validation_selected,test_kappa_at_validation_selected,test_f1_at_validation_selected,test_ba_peak,test_ba_peak_epoch,test_kappa_peak,test_kappa_peak_epoch,test_peak_is_post_selection,artifact_dir
isruc_labram_axis_blind_b400_s1024_b16_lr2e-4_e30_retry_seqfix,1024,30,22,0.6895902002689422,0.7210454114977808,0.6811703016679138,0.7439472635687449,0.7210454114977808,22,0.6811703016679138,22,False,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/LaBraM/checkpoints/isruc_labram_axis_blind_b400_s1024_b16_lr2e-4_e30_retry_seqfix
isruc_labram_axis_blind_b400_s3407_b16_lr2e-4_e30_retry_seqfix,3407,30,22,0.6926648201391539,0.7254112238310519,0.685399386024452,0.7474615397085191,0.7254112238310519,22,0.685399386024452,22,False,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/LaBraM/checkpoints/isruc_labram_axis_blind_b400_s3407_b16_lr2e-4_e30_retry_seqfix
isruc_labram_axis_blind_b400_s42_b16_lr2e-4_e30_retry_seqfix,42,30,22,0.694118219729901,0.7234385958163658,0.6829024792746812,0.7454216054845126,0.7234385958163658,22,0.6829024792746812,22,False,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/LaBraM/checkpoints/isruc_labram_axis_blind_b400_s42_b16_lr2e-4_e30_retry_seqfix
