comparison,backbone,dataset,axis,metric,n,seeds,effect_mean,effect_sd,positive_seeds,effect_min,effect_max,scope_note,pair_validity,pair_invalid_reason,parameter_match_pct_mean
aligned_vs_axis_blind,CBraMod,physionet_mi,patch,weighted_f1,3,"42,1024,3407",-0.0007324225789728059,0.018604003543936366,1,-0.013453458944497343,0.020619438879261764,,PAIR_STRUCTURALLY_INVALID,parameter mismatch exceeds 5 percent,50.28274032927988
aligned_vs_axis_blind,CBraMod,seedv,channel,balanced_accuracy,3,"42,1024,3407",-0.008742766296282992,0.004245095632787963,0,-0.013631948141735961,-0.005993605852617101,within-subject protocol; patch axis is singleton/degenerate,PAIR_STRUCTURALLY_INVALID,parameter mismatch exceeds 5 percent,50.28274032927988
aligned_vs_axis_blind,CBraMod,seedv,channel,cohen_kappa,3,"42,1024,3407",-0.01049846686961331,0.005730392590384579,0,-0.017073722773716105,-0.006569039426594925,within-subject protocol; patch axis is singleton/degenerate,PAIR_STRUCTURALLY_INVALID,parameter mismatch exceeds 5 percent,50.28274032927988
aligned_vs_axis_blind,CBraMod,seedv,channel,macro_f1,3,"42,1024,3407",-0.013634247544623742,0.014025151215130049,0,-0.029801372530324888,-0.00473036872266458,within-subject protocol; patch axis is singleton/degenerate,PAIR_STRUCTURALLY_INVALID,parameter mismatch exceeds 5 percent,50.28274032927988
aligned_vs_axis_blind,CBraMod,seedv,channel,weighted_f1,3,"42,1024,3407",-0.012286803972259916,0.012910792674531815,0,-0.02699262962555299,-0.002814318930293769,within-subject protocol; patch axis is singleton/degenerate,PAIR_STRUCTURALLY_INVALID,parameter mismatch exceeds 5 percent,50.28274032927988
aligned_vs_axis_blind,CBraMod,seedv,patch,balanced_accuracy,3,"42,1024,3407",-0.005485692828093802,0.005876327611740325,0,-0.011986018271556542,-0.000550136073115326,within-subject protocol; patch axis is singleton/degenerate,PAIR_STRUCTURALLY_INVALID,parameter mismatch exceeds 5 percent,50.28274032927988
aligned_vs_axis_blind,CBraMod,seedv,patch,cohen_kappa,3,"42,1024,3407",-0.006278246909372879,0.008058255191842206,1,-0.014864472817063601,0.0011201873214786717,within-subject protocol; patch axis is singleton/degenerate,PAIR_STRUCTURALLY_INVALID,parameter mismatch exceeds 5 percent,50.28274032927988
aligned_vs_axis_blind,CBraMod,seedv,patch,macro_f1,3,"42,1024,3407",-0.006351872754453702,0.005561939742991458,0,-0.011964772841062676,-0.0008423340762767628,within-subject protocol; patch axis is singleton/degenerate,PAIR_STRUCTURALLY_INVALID,parameter mismatch exceeds 5 percent,50.28274032927988
aligned_vs_axis_blind,CBraMod,seedv,patch,weighted_f1,3,"42,1024,3407",-0.005444918913540042,0.006354892391431445,1,-0.011561053830520474,0.0011244627668111074,within-subject protocol; patch axis is singleton/degenerate,PAIR_STRUCTURALLY_INVALID,parameter mismatch exceeds 5 percent,50.28274032927988
aligned_vs_axis_blind,CBraMod,tuev,channel,balanced_accuracy,3,"42,1024,3407",-0.002108169814268923,0.006291717105823299,1,-0.006378474515460142,0.005117078552999421,,PAIR_STRUCTURALLY_INVALID,parameter mismatch exceeds 5 percent,50.28274032927988
aligned_vs_axis_blind,CBraMod,tuev,channel,cohen_kappa,3,"42,1024,3407",0.006157586768921493,0.005408135231169795,3,0.0017267639347250396,0.012184006377770618,,PAIR_STRUCTURALLY_INVALID,parameter mismatch exceeds 5 percent,50.28274032927988
aligned_vs_axis_blind,CBraMod,tuev,channel,macro_f1,3,"42,1024,3407",0.003505887936609775,0.004255438624290846,3,0.0006042790373951834,0.008390969199769727,,PAIR_STRUCTURALLY_INVALID,parameter mismatch exceeds 5 percent,50.28274032927988
aligned_vs_axis_blind,CBraMod,tuev,channel,weighted_f1,3,"42,1024,3407",0.0038965107060013513,0.0026535434242239827,3,0.0020105364138452986,0.00693081763423542,,PAIR_STRUCTURALLY_INVALID,parameter mismatch exceeds 5 percent,50.28274032927988
aligned_vs_axis_blind,CBraMod,tuev,channel_patch,balanced_accuracy,3,"42,1024,3407",-0.0032092022855662594,0.01937512753926634,1,-0.021097749782011177,0.017371027311378406,,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,0.5654806585597758
aligned_vs_axis_blind,CBraMod,tuev,channel_patch,cohen_kappa,3,"42,1024,3407",-0.008485205649857405,0.014617475188885997,1,-0.017078232995900833,0.00839266294504415,,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,0.5654806585597758
aligned_vs_axis_blind,CBraMod,tuev,channel_patch,macro_f1,3,"42,1024,3407",-0.0043528069639354365,0.017122389661096773,1,-0.019290883788224855,0.014333032386986522,,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,0.5654806585597758
aligned_vs_axis_blind,CBraMod,tuev,channel_patch,weighted_f1,3,"42,1024,3407",-0.004541350309141119,0.007373695097316384,1,-0.008822938292557647,0.003973012748905491,,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,0.5654806585597758
aligned_vs_axis_blind,CBraMod,tuev,patch,balanced_accuracy,3,"42,1024,3407",-0.0027113376742511166,0.009260729261207554,2,-0.013170149972398348,0.004447068327979309,,PAIR_STRUCTURALLY_INVALID,parameter mismatch exceeds 5 percent,50.28274032927988
aligned_vs_axis_blind,CBraMod,tuev,patch,cohen_kappa,3,"42,1024,3407",-0.013825078135235888,0.013050564334417692,1,-0.022855709858365048,0.0011378689151525512,,PAIR_STRUCTURALLY_INVALID,parameter mismatch exceeds 5 percent,50.28274032927988
aligned_vs_axis_blind,CBraMod,tuev,patch,macro_f1,3,"42,1024,3407",-0.004158448357733657,0.012676627741900006,2,-0.0185322222322864,0.005424864952108255,,PAIR_STRUCTURALLY_INVALID,parameter mismatch exceeds 5 percent,50.28274032927988
aligned_vs_axis_blind,CBraMod,tuev,patch,weighted_f1,3,"42,1024,3407",-0.007437272759815279,0.00781975894322613,1,-0.01208342134077367,0.0015909195350624072,,PAIR_STRUCTURALLY_INVALID,parameter mismatch exceeds 5 percent,50.28274032927988
aligned_vs_axis_blind,LaBraM,TUEV,channel,balanced_accuracy,3,"42,1024,3407",0.0015661575763126951,0.017635645906608235,1,-0.014341104657747905,0.020530477259726565,,PAIR_STRUCTURALLY_INVALID,parameter mismatch exceeds 5 percent,50.118585346571486
aligned_vs_axis_blind,LaBraM,TUEV,channel,cohen_kappa,3,"42,1024,3407",-0.06671007553415868,0.03040271347366524,0,-0.10101504582177889,-0.043099901427886333,,PAIR_STRUCTURALLY_INVALID,parameter mismatch exceeds 5 percent,50.118585346571486
aligned_vs_axis_blind,LaBraM,TUEV,channel,weighted_f1,3,"42,1024,3407",-0.03947395136041706,0.020269122237163352,0,-0.062863842399696,-0.02705646577748444,,PAIR_STRUCTURALLY_INVALID,parameter mismatch exceeds 5 percent,50.118585346571486
aligned_vs_axis_blind,LaBraM,TUEV,channel_patch,balanced_accuracy,3,"42,1024,3407",-0.03913247030452571,0.01744945041982057,0,-0.049304849711442944,-0.01898389888850016,,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,0.23717069314297673
aligned_vs_axis_blind,LaBraM,TUEV,channel_patch,cohen_kappa,3,"42,1024,3407",-0.06565501300589845,0.04573645819644058,0,-0.10943626060758571,-0.018186559406876635,,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,0.23717069314297673
aligned_vs_axis_blind,LaBraM,TUEV,channel_patch,weighted_f1,3,"42,1024,3407",-0.03912931300312602,0.025044668751217938,0,-0.062060126837834906,-0.012403867897199605,,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,0.23717069314297673
aligned_vs_axis_blind,LaBraM,TUEV,patch,balanced_accuracy,3,"42,1024,3407",-0.03198448123665665,0.018513323435942093,0,-0.04880458246660835,-0.012148307455688068,,PAIR_STRUCTURALLY_INVALID,parameter mismatch exceeds 5 percent,50.118585346571486
aligned_vs_axis_blind,LaBraM,TUEV,patch,cohen_kappa,3,"42,1024,3407",-0.036225136513031796,0.009904099975893652,0,-0.04369562326020826,-0.024990888728677274,,PAIR_STRUCTURALLY_INVALID,parameter mismatch exceeds 5 percent,50.118585346571486
aligned_vs_axis_blind,LaBraM,TUEV,patch,weighted_f1,3,"42,1024,3407",-0.02003651338585466,0.005784654331564664,0,-0.024745680669889913,-0.013579487379352329,,PAIR_STRUCTURALLY_INVALID,parameter mismatch exceeds 5 percent,50.118585346571486
aligned_vs_frozen_probe,CBraMod,faced,channel,balanced_accuracy,3,"42,1024,3407",0.0017444981213097048,0.005972681987189495,1,-0.002415458937198134,0.008588298443370945,,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,
aligned_vs_frozen_probe,CBraMod,faced,channel,cohen_kappa,3,"42,1024,3407",0.0021839008118008283,0.004748925858375925,2,-0.00163543608511596,0.007501177814544624,,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,
aligned_vs_frozen_probe,CBraMod,faced,channel,macro_f1,3,"42,1024,3407",0.0015036294080408112,0.00624929153500874,1,-0.003232817653189113,0.008586531784203655,,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,
aligned_vs_frozen_probe,CBraMod,faced,channel,weighted_f1,3,"42,1024,3407",0.0015942792287833758,0.005042021019573549,2,-0.002635686947530025,0.007173727004630648,,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,
aligned_vs_frozen_probe,CBraMod,faced,channel_patch,balanced_accuracy,3,"42,1024,3407",0.013285024154589356,0.006092087741715638,3,0.008454106280193219,0.020128824476650597,,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,
aligned_vs_frozen_probe,CBraMod,faced,channel_patch,cohen_kappa,3,"42,1024,3407",0.013914591667247992,0.005904949520023492,3,0.009084399952162925,0.020497464489872552,,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,
aligned_vs_frozen_probe,CBraMod,faced,channel_patch,macro_f1,3,"42,1024,3407",0.011812337560752617,0.0061138222468798565,3,0.008264751248906355,0.018871941533044778,,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,
aligned_vs_frozen_probe,CBraMod,faced,channel_patch,weighted_f1,3,"42,1024,3407",0.011309130268096731,0.005427005959206257,3,0.008128559224428178,0.017575457872546718,,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,
aligned_vs_frozen_probe,CBraMod,faced,patch,balanced_accuracy,3,"42,1024,3407",0.00908033637502235,0.006386945517481308,3,0.00335480407944172,0.01596886741814274,,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,
aligned_vs_frozen_probe,CBraMod,faced,patch,cohen_kappa,3,"42,1024,3407",0.00999336676823163,0.006588190373919494,3,0.0049765509114017,0.017454341848841537,,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,
aligned_vs_frozen_probe,CBraMod,faced,patch,macro_f1,3,"42,1024,3407",0.008375850771141946,0.005310191559373177,3,0.0029415985310979886,0.013552613315703343,,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,
aligned_vs_frozen_probe,CBraMod,faced,patch,weighted_f1,3,"42,1024,3407",0.00824195955659568,0.004935008802151454,3,0.003735214569312195,0.013515472625112823,,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,
aligned_vs_frozen_probe,CBraMod,isruc,channel_patch,balanced_accuracy,3,"42,1024,3407",-0.004315878254535425,0.004951574584699166,0,-0.009794758398274483,-0.00016063623827355933,,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,
aligned_vs_frozen_probe,CBraMod,isruc,channel_patch,cohen_kappa,3,"42,1024,3407",-0.004167632675235382,0.010449500457332088,1,-0.011238543601200246,0.007835037431039527,,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,
aligned_vs_frozen_probe,CBraMod,isruc,channel_patch,macro_f1,3,"42,1024,3407",-0.003174441009725896,0.0060205517296146325,2,-0.010118829989953837,0.0005781806499567388,,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,
aligned_vs_frozen_probe,CBraMod,isruc,channel_patch,weighted_f1,3,"42,1024,3407",-0.0035016796708098688,0.007862302858284228,1,-0.009010839499700274,0.005502114171817785,,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,
