backbone,dataset,seeds,native_ba_mean,native_ba_sd,branch_local_mlp_ba_mean,branch_local_mlp_ba_sd,native_minus_branch_local_mlp_ba_mean,native_minus_branch_local_mlp_ba_sd,native_macro_f1_mean,native_macro_f1_sd,branch_local_mlp_macro_f1_mean,branch_local_mlp_macro_f1_sd,native_minus_branch_local_mlp_macro_f1_mean,native_minus_branch_local_mlp_macro_f1_sd,branch_local_mlp_minus_axis_agnostic_ba_mean,branch_local_mlp_minus_axis_agnostic_ba_sd,branch_local_mlp_minus_axis_agnostic_macro_f1_mean,branch_local_mlp_minus_axis_agnostic_macro_f1_sd,branch_local_mlp_better_ba_count,branch_local_mlp_better_macro_f1_count
CBraMod,TUEV,3,0.454793701,0.022266852,0.463663063,0.016804595,-0.008869362,0.031534753,0.471962541,0.021564315,0.478109862,0.006317520,-0.006147321,0.023487619,0.005660160,0.012791319,0.001794514,0.006845432,2,2
LaBraM,TUEV,3,0.391609119,0.018243723,0.431076131,0.003331353,-0.039467012,0.020806910,0.367625191,0.025962776,0.433639915,0.003036337,-0.066014724,0.028791147,0.000334542,0.004274498,0.000731175,0.003877662,3,3
